spectrum_id,fold
MassSpecGymID0000099,id_val
MassSpecGymID0000102,id_val
MassSpecGymID0000103,id_val
MassSpecGymID0000104,id_val
MassSpecGymID0000105,id_val
MassSpecGymID0000106,id_val
MassSpecGymID0000107,train
MassSpecGymID0000108,ood
MassSpecGymID0000109,ood
MassSpecGymID0000110,ood
MassSpecGymID0000111,ood
MassSpecGymID0000112,ood
MassSpecGymID0000113,ood
MassSpecGymID0000115,ood
MassSpecGymID0000117,ood
MassSpecGymID0000119,ood
MassSpecGymID0000120,ood
MassSpecGymID0000121,ood
MassSpecGymID0000122,ood
MassSpecGymID0000123,ood
MassSpecGymID0000124,ood
MassSpecGymID0000125,ood
MassSpecGymID0000126,ood
MassSpecGymID0000127,ood
MassSpecGymID0000128,ood
MassSpecGymID0000129,ood
MassSpecGymID0000130,ood
MassSpecGymID0000131,ood
MassSpecGymID0000133,ood
MassSpecGymID0000134,ood
MassSpecGymID0000135,ood
MassSpecGymID0000136,ood
MassSpecGymID0000137,ood
MassSpecGymID0000138,ood
MassSpecGymID0000139,ood
MassSpecGymID0000140,ood
MassSpecGymID0000141,ood
MassSpecGymID0000142,ood
MassSpecGymID0000143,ood
MassSpecGymID0000144,ood
MassSpecGymID0000146,ood
MassSpecGymID0000147,ood
MassSpecGymID0000148,ood
MassSpecGymID0000149,ood
MassSpecGymID0000150,ood
MassSpecGymID0000151,train
MassSpecGymID0000152,train
MassSpecGymID0000153,train
MassSpecGymID0000154,train
MassSpecGymID0000155,train
MassSpecGymID0000156,train
MassSpecGymID0000158,train
MassSpecGymID0000160,train
MassSpecGymID0000164,train
MassSpecGymID0000165,train
MassSpecGymID0000167,train
MassSpecGymID0000168,train
MassSpecGymID0000169,train
MassSpecGymID0000170,train
MassSpecGymID0000171,train
MassSpecGymID0000172,train
MassSpecGymID0000173,train
MassSpecGymID0000174,train
MassSpecGymID0000176,train
MassSpecGymID0000177,train
MassSpecGymID0000178,train
MassSpecGymID0000179,train
MassSpecGymID0000181,train
MassSpecGymID0000185,train
MassSpecGymID0000190,train
MassSpecGymID0000191,train
MassSpecGymID0000192,train
MassSpecGymID0000193,train
MassSpecGymID0000194,train
MassSpecGymID0000195,id_val
MassSpecGymID0000196,id_val
MassSpecGymID0000197,id_val
MassSpecGymID0000198,id_val
MassSpecGymID0000199,id_val
MassSpecGymID0000200,id_val
MassSpecGymID0000201,train
MassSpecGymID0000202,train
MassSpecGymID0000203,train
MassSpecGymID0000204,train
MassSpecGymID0000205,train
MassSpecGymID0000206,train
MassSpecGymID0000207,train
MassSpecGymID0000208,train
MassSpecGymID0000209,train
MassSpecGymID0000210,train
MassSpecGymID0000211,train
MassSpecGymID0000212,train
MassSpecGymID0000213,train
MassSpecGymID0000214,train
MassSpecGymID0000215,train
MassSpecGymID0000216,train
MassSpecGymID0000217,train
MassSpecGymID0000218,train
MassSpecGymID0000219,train
MassSpecGymID0000220,train
MassSpecGymID0000221,train
MassSpecGymID0000222,train
MassSpecGymID0000223,train
MassSpecGymID0000224,train
MassSpecGymID0000226,train
MassSpecGymID0000227,train
MassSpecGymID0000228,train
MassSpecGymID0000229,train
MassSpecGymID0000230,train
MassSpecGymID0000231,train
MassSpecGymID0000232,train
MassSpecGymID0000233,train
MassSpecGymID0000234,train
MassSpecGymID0000235,train
MassSpecGymID0000236,train
MassSpecGymID0000237,train
MassSpecGymID0000238,train
MassSpecGymID0000239,train
MassSpecGymID0000240,train
MassSpecGymID0000241,train
MassSpecGymID0000242,train
MassSpecGymID0000243,train
MassSpecGymID0000244,train
MassSpecGymID0000245,train
MassSpecGymID0000246,train
MassSpecGymID0000247,train
MassSpecGymID0000248,train
MassSpecGymID0000249,train
MassSpecGymID0000250,train
MassSpecGymID0000251,train
MassSpecGymID0000252,train
MassSpecGymID0000253,train
MassSpecGymID0000254,train
MassSpecGymID0000256,train
MassSpecGymID0000257,train
MassSpecGymID0000258,train
MassSpecGymID0000259,train
MassSpecGymID0000260,train
MassSpecGymID0000261,train
MassSpecGymID0000262,train
MassSpecGymID0000263,train
MassSpecGymID0000264,train
MassSpecGymID0000266,train
MassSpecGymID0000268,train
MassSpecGymID0000269,train
MassSpecGymID0000270,train
MassSpecGymID0000271,train
MassSpecGymID0000272,train
MassSpecGymID0000273,train
MassSpecGymID0000274,train
MassSpecGymID0000275,train
MassSpecGymID0000276,train
MassSpecGymID0000277,train
MassSpecGymID0000278,train
MassSpecGymID0000279,train
MassSpecGymID0000280,train
MassSpecGymID0000281,train
MassSpecGymID0000282,train
MassSpecGymID0000283,train
MassSpecGymID0000284,train
MassSpecGymID0000286,train
MassSpecGymID0000287,train
MassSpecGymID0000288,train
MassSpecGymID0000289,train
MassSpecGymID0000291,ood
MassSpecGymID0000292,ood
MassSpecGymID0000293,ood
MassSpecGymID0000294,ood
MassSpecGymID0000295,ood
MassSpecGymID0000296,ood
MassSpecGymID0000297,ood
MassSpecGymID0000298,ood
MassSpecGymID0000299,ood
MassSpecGymID0000300,ood
MassSpecGymID0000301,ood
MassSpecGymID0000303,ood
MassSpecGymID0000304,ood
MassSpecGymID0000305,ood
MassSpecGymID0000306,ood
MassSpecGymID0000307,ood
MassSpecGymID0000308,ood
MassSpecGymID0000309,ood
MassSpecGymID0000310,ood
MassSpecGymID0000311,ood
MassSpecGymID0000312,ood
MassSpecGymID0000313,ood
MassSpecGymID0000314,ood
MassSpecGymID0000315,ood
MassSpecGymID0000316,ood
MassSpecGymID0000317,ood
MassSpecGymID0000318,ood
MassSpecGymID0000319,ood
MassSpecGymID0000320,ood
MassSpecGymID0000321,ood
MassSpecGymID0000322,ood
MassSpecGymID0000323,ood
MassSpecGymID0000324,ood
MassSpecGymID0000325,ood
MassSpecGymID0000326,ood
MassSpecGymID0000328,ood
MassSpecGymID0000329,ood
MassSpecGymID0000330,ood
MassSpecGymID0000331,ood
MassSpecGymID0000332,ood
MassSpecGymID0000333,ood
MassSpecGymID0000335,ood
MassSpecGymID0000336,ood
MassSpecGymID0000337,holdout
MassSpecGymID0000338,holdout
MassSpecGymID0000339,holdout
MassSpecGymID0000340,holdout
MassSpecGymID0000342,holdout
MassSpecGymID0000343,holdout
MassSpecGymID0000345,ood
MassSpecGymID0000346,ood
MassSpecGymID0000347,ood
MassSpecGymID0000348,ood
MassSpecGymID0000349,ood
MassSpecGymID0000350,ood
MassSpecGymID0000351,ood
MassSpecGymID0000352,ood
MassSpecGymID0000353,ood
MassSpecGymID0000354,ood
MassSpecGymID0000355,ood
MassSpecGymID0000356,ood
MassSpecGymID0000358,ood
MassSpecGymID0000359,ood
MassSpecGymID0000360,ood
MassSpecGymID0000361,ood
MassSpecGymID0000362,ood
MassSpecGymID0000363,ood
MassSpecGymID0000364,train
MassSpecGymID0000365,train
MassSpecGymID0000366,train
MassSpecGymID0000367,train
MassSpecGymID0000368,train
MassSpecGymID0000369,train
MassSpecGymID0000370,train
MassSpecGymID0000371,train
MassSpecGymID0000372,train
MassSpecGymID0000373,train
MassSpecGymID0000374,train
MassSpecGymID0000375,train
MassSpecGymID0000376,train
MassSpecGymID0000377,train
MassSpecGymID0000378,train
MassSpecGymID0000379,train
MassSpecGymID0000380,train
MassSpecGymID0000381,train
MassSpecGymID0000382,train
MassSpecGymID0000383,train
MassSpecGymID0000385,train
MassSpecGymID0000386,train
MassSpecGymID0000387,train
MassSpecGymID0000388,train
MassSpecGymID0000390,train
MassSpecGymID0000391,train
MassSpecGymID0000392,train
MassSpecGymID0000393,ood
MassSpecGymID0000394,ood
MassSpecGymID0000395,ood
MassSpecGymID0000396,ood
MassSpecGymID0000397,ood
MassSpecGymID0000398,ood
MassSpecGymID0000399,ood
MassSpecGymID0000400,ood
MassSpecGymID0000401,ood
MassSpecGymID0000402,ood
MassSpecGymID0000403,id_val
MassSpecGymID0000405,id_val
MassSpecGymID0000406,id_val
MassSpecGymID0000407,id_val
MassSpecGymID0000408,id_val
MassSpecGymID0000410,id_val
MassSpecGymID0000411,id_val
MassSpecGymID0000412,id_val
MassSpecGymID0000415,id_val
MassSpecGymID0000416,id_val
MassSpecGymID0000417,id_val
MassSpecGymID0000418,id_val
MassSpecGymID0000420,id_val
MassSpecGymID0000421,id_val
MassSpecGymID0000423,holdout
MassSpecGymID0000424,holdout
MassSpecGymID0000425,holdout
MassSpecGymID0000426,holdout
MassSpecGymID0000427,holdout
MassSpecGymID0000428,holdout
MassSpecGymID0000429,holdout
MassSpecGymID0000430,holdout
MassSpecGymID0000431,holdout
MassSpecGymID0000432,holdout
MassSpecGymID0000433,train
MassSpecGymID0000434,train
MassSpecGymID0000435,train
MassSpecGymID0000436,train
MassSpecGymID0000438,train
MassSpecGymID0000439,train
MassSpecGymID0000440,train
MassSpecGymID0000441,train
MassSpecGymID0000442,train
MassSpecGymID0000443,train
MassSpecGymID0000446,train
MassSpecGymID0000447,train
MassSpecGymID0000448,train
MassSpecGymID0000449,train
MassSpecGymID0000450,train
MassSpecGymID0000451,train
MassSpecGymID0000452,train
MassSpecGymID0000453,train
MassSpecGymID0000454,train
MassSpecGymID0000455,train
MassSpecGymID0000456,train
MassSpecGymID0000457,train
MassSpecGymID0000458,train
MassSpecGymID0000459,train
MassSpecGymID0000460,train
MassSpecGymID0000461,train
MassSpecGymID0000462,train
MassSpecGymID0000463,train
MassSpecGymID0000464,train
MassSpecGymID0000465,train
MassSpecGymID0000466,train
MassSpecGymID0000467,train
MassSpecGymID0000468,train
MassSpecGymID0000469,train
MassSpecGymID0000470,train
MassSpecGymID0000471,train
MassSpecGymID0000472,train
MassSpecGymID0000473,train
MassSpecGymID0000474,train
MassSpecGymID0000475,train
MassSpecGymID0000476,train
MassSpecGymID0000477,train
MassSpecGymID0000478,train
MassSpecGymID0000479,train
MassSpecGymID0000481,train
MassSpecGymID0000482,train
MassSpecGymID0000483,train
MassSpecGymID0000484,train
MassSpecGymID0000486,holdout
MassSpecGymID0000487,holdout
MassSpecGymID0000488,holdout
MassSpecGymID0000489,holdout
MassSpecGymID0000490,holdout
MassSpecGymID0000491,holdout
MassSpecGymID0000492,holdout
MassSpecGymID0000493,holdout
MassSpecGymID0000494,holdout
MassSpecGymID0000495,holdout
MassSpecGymID0000496,ood
MassSpecGymID0000497,ood
MassSpecGymID0000498,ood
MassSpecGymID0000499,ood
MassSpecGymID0000500,ood
MassSpecGymID0000501,ood
MassSpecGymID0000502,ood
MassSpecGymID0000503,ood
MassSpecGymID0000504,ood
MassSpecGymID0000505,ood
MassSpecGymID0000506,ood
MassSpecGymID0000508,ood
MassSpecGymID0000509,ood
MassSpecGymID0000510,ood
MassSpecGymID0000511,ood
MassSpecGymID0000512,ood
MassSpecGymID0000513,train
MassSpecGymID0000514,train
MassSpecGymID0000515,train
MassSpecGymID0000516,train
MassSpecGymID0000517,train
MassSpecGymID0000518,train
MassSpecGymID0000519,train
MassSpecGymID0000520,train
MassSpecGymID0000521,train
MassSpecGymID0000522,train
MassSpecGymID0000523,train
MassSpecGymID0000524,train
MassSpecGymID0000525,train
MassSpecGymID0000526,train
MassSpecGymID0000527,train
MassSpecGymID0000528,train
MassSpecGymID0000529,train
MassSpecGymID0000530,train
MassSpecGymID0000531,train
MassSpecGymID0000532,train
MassSpecGymID0000533,train
MassSpecGymID0000534,train
MassSpecGymID0000535,train
MassSpecGymID0000536,train
MassSpecGymID0000537,train
MassSpecGymID0000538,train
MassSpecGymID0000539,train
MassSpecGymID0000540,train
MassSpecGymID0000541,train
MassSpecGymID0000542,train
MassSpecGymID0000566,train
MassSpecGymID0000568,train
MassSpecGymID0000570,train
MassSpecGymID0000571,train
MassSpecGymID0000572,train
MassSpecGymID0000573,train
MassSpecGymID0000576,train
MassSpecGymID0000577,train
MassSpecGymID0000579,train
MassSpecGymID0000580,train
MassSpecGymID0000581,train
MassSpecGymID0000582,train
MassSpecGymID0000583,train
MassSpecGymID0000584,train
MassSpecGymID0000586,ood
MassSpecGymID0000587,ood
MassSpecGymID0000588,ood
MassSpecGymID0000589,ood
MassSpecGymID0000590,ood
MassSpecGymID0000591,ood
MassSpecGymID0000592,ood
MassSpecGymID0000593,ood
MassSpecGymID0000594,ood
MassSpecGymID0000595,ood
MassSpecGymID0000596,ood
MassSpecGymID0000597,ood
MassSpecGymID0000598,ood
MassSpecGymID0000599,ood
MassSpecGymID0000600,ood
MassSpecGymID0000601,ood
MassSpecGymID0000602,ood
MassSpecGymID0000603,ood
MassSpecGymID0000604,ood
MassSpecGymID0000605,ood
MassSpecGymID0000606,ood
MassSpecGymID0000607,ood
MassSpecGymID0000608,ood
MassSpecGymID0000610,ood
MassSpecGymID0000611,ood
MassSpecGymID0000612,ood
MassSpecGymID0000613,ood
MassSpecGymID0000614,ood
MassSpecGymID0000615,ood
MassSpecGymID0000616,ood
MassSpecGymID0000617,ood
MassSpecGymID0000618,ood
MassSpecGymID0000619,ood
MassSpecGymID0000620,ood
MassSpecGymID0000624,ood
MassSpecGymID0000626,ood
MassSpecGymID0000630,ood
MassSpecGymID0000638,ood
MassSpecGymID0000642,ood
MassSpecGymID0000648,ood
MassSpecGymID0000656,ood
MassSpecGymID0000657,ood
MassSpecGymID0000658,ood
MassSpecGymID0000659,ood
MassSpecGymID0000660,ood
MassSpecGymID0000661,ood
MassSpecGymID0000662,ood
MassSpecGymID0000663,ood
MassSpecGymID0000664,ood
MassSpecGymID0000665,ood
MassSpecGymID0000666,ood
MassSpecGymID0000667,ood
MassSpecGymID0000668,ood
MassSpecGymID0000669,ood
MassSpecGymID0000670,ood
MassSpecGymID0000671,ood
MassSpecGymID0000672,ood
MassSpecGymID0000673,ood
MassSpecGymID0000674,ood
MassSpecGymID0000676,ood
MassSpecGymID0000677,ood
MassSpecGymID0000678,ood
MassSpecGymID0000679,ood
MassSpecGymID0000680,ood
MassSpecGymID0000690,ood
MassSpecGymID0000694,ood
MassSpecGymID0000696,ood
MassSpecGymID0000720,ood
MassSpecGymID0000721,ood
MassSpecGymID0000722,holdout
MassSpecGymID0000723,holdout
MassSpecGymID0000724,holdout
MassSpecGymID0000725,holdout
MassSpecGymID0000726,holdout
MassSpecGymID0000727,holdout
MassSpecGymID0000728,holdout
MassSpecGymID0000729,holdout
MassSpecGymID0000730,holdout
MassSpecGymID0000731,holdout
MassSpecGymID0000732,holdout
MassSpecGymID0000733,holdout
MassSpecGymID0000734,holdout
MassSpecGymID0000735,holdout
MassSpecGymID0000736,holdout
MassSpecGymID0000737,holdout
MassSpecGymID0000738,holdout
MassSpecGymID0000739,holdout
MassSpecGymID0000740,holdout
MassSpecGymID0000741,holdout
MassSpecGymID0000742,holdout
MassSpecGymID0000744,holdout
MassSpecGymID0000745,holdout
MassSpecGymID0000746,holdout
MassSpecGymID0000747,holdout
MassSpecGymID0000748,ood
MassSpecGymID0000749,ood
MassSpecGymID0000750,ood
MassSpecGymID0000751,ood
MassSpecGymID0000752,ood
MassSpecGymID0000753,ood
MassSpecGymID0000754,ood
MassSpecGymID0000755,ood
MassSpecGymID0000756,ood
MassSpecGymID0000757,ood
MassSpecGymID0000758,ood
MassSpecGymID0000759,ood
MassSpecGymID0000760,ood
MassSpecGymID0000761,ood
MassSpecGymID0000762,ood
MassSpecGymID0000763,ood
MassSpecGymID0000764,train
MassSpecGymID0000765,train
MassSpecGymID0000766,train
MassSpecGymID0000767,train
MassSpecGymID0000768,train
MassSpecGymID0000769,train
MassSpecGymID0000770,train
MassSpecGymID0000771,train
MassSpecGymID0000772,train
MassSpecGymID0000773,train
MassSpecGymID0000774,train
MassSpecGymID0000776,train
MassSpecGymID0000777,train
MassSpecGymID0000778,train
MassSpecGymID0000779,train
MassSpecGymID0000780,train
MassSpecGymID0000781,ood
MassSpecGymID0000782,ood
MassSpecGymID0000783,ood
MassSpecGymID0000784,ood
MassSpecGymID0000785,ood
MassSpecGymID0000786,ood
MassSpecGymID0000787,ood
MassSpecGymID0000788,ood
MassSpecGymID0000790,train
MassSpecGymID0000791,train
MassSpecGymID0000792,train
MassSpecGymID0000793,train
MassSpecGymID0000794,train
MassSpecGymID0000795,train
MassSpecGymID0000796,train
MassSpecGymID0000797,train
MassSpecGymID0000798,train
MassSpecGymID0000799,train
MassSpecGymID0000800,train
MassSpecGymID0000801,train
MassSpecGymID0000803,train
MassSpecGymID0000804,train
MassSpecGymID0000805,train
MassSpecGymID0000806,train
MassSpecGymID0000807,train
MassSpecGymID0000808,train
MassSpecGymID0000809,train
MassSpecGymID0000812,train
MassSpecGymID0000813,train
MassSpecGymID0000814,train
MassSpecGymID0000815,train
MassSpecGymID0000816,train
MassSpecGymID0000819,ood
MassSpecGymID0000820,ood
MassSpecGymID0000821,ood
MassSpecGymID0000822,ood
MassSpecGymID0000823,ood
MassSpecGymID0000824,ood
MassSpecGymID0000825,ood
MassSpecGymID0000826,ood
MassSpecGymID0000827,ood
MassSpecGymID0000828,ood
MassSpecGymID0000829,ood
MassSpecGymID0000830,ood
MassSpecGymID0000831,ood
MassSpecGymID0000832,ood
MassSpecGymID0000833,ood
MassSpecGymID0000834,ood
MassSpecGymID0000835,ood
MassSpecGymID0000836,ood
MassSpecGymID0000837,ood
MassSpecGymID0000838,ood
MassSpecGymID0000839,id_val
MassSpecGymID0000840,id_val
MassSpecGymID0000841,id_val
MassSpecGymID0000842,id_val
MassSpecGymID0000843,id_val
MassSpecGymID0000844,id_val
MassSpecGymID0000845,id_val
MassSpecGymID0000846,id_val
MassSpecGymID0000847,id_val
MassSpecGymID0000848,id_val
MassSpecGymID0000849,train
MassSpecGymID0000850,train
MassSpecGymID0000851,train
MassSpecGymID0000852,train
MassSpecGymID0000853,train
MassSpecGymID0000854,train
MassSpecGymID0000855,train
MassSpecGymID0000856,train
MassSpecGymID0000858,train
MassSpecGymID0000859,train
MassSpecGymID0000860,train
MassSpecGymID0000861,train
MassSpecGymID0000862,train
MassSpecGymID0000863,train
MassSpecGymID0000865,holdout
MassSpecGymID0000866,holdout
MassSpecGymID0000867,holdout
MassSpecGymID0000868,holdout
MassSpecGymID0000869,holdout
MassSpecGymID0000870,holdout
MassSpecGymID0000871,holdout
MassSpecGymID0000872,holdout
MassSpecGymID0000873,holdout
MassSpecGymID0000874,holdout
MassSpecGymID0000875,holdout
MassSpecGymID0000876,holdout
MassSpecGymID0000877,holdout
MassSpecGymID0000878,holdout
MassSpecGymID0000879,holdout
MassSpecGymID0000880,holdout
MassSpecGymID0000881,holdout
MassSpecGymID0000882,holdout
MassSpecGymID0000883,holdout
MassSpecGymID0000884,holdout
MassSpecGymID0000885,holdout
MassSpecGymID0000886,holdout
MassSpecGymID0000887,holdout
MassSpecGymID0000888,holdout
MassSpecGymID0000889,holdout
MassSpecGymID0000890,holdout
MassSpecGymID0000891,holdout
MassSpecGymID0000892,holdout
MassSpecGymID0000893,holdout
MassSpecGymID0000894,holdout
MassSpecGymID0000895,ood
MassSpecGymID0000896,ood
MassSpecGymID0000897,ood
MassSpecGymID0000898,ood
MassSpecGymID0000899,ood
MassSpecGymID0000900,ood
MassSpecGymID0000901,ood
MassSpecGymID0000902,ood
MassSpecGymID0000903,ood
MassSpecGymID0000904,ood
MassSpecGymID0000905,id_val
MassSpecGymID0000906,id_val
MassSpecGymID0000907,id_val
MassSpecGymID0000908,id_val
MassSpecGymID0000909,id_val
MassSpecGymID0000910,train
MassSpecGymID0000911,train
MassSpecGymID0000912,train
MassSpecGymID0000913,train
MassSpecGymID0000914,train
MassSpecGymID0000915,train
MassSpecGymID0000916,train
MassSpecGymID0000917,train
MassSpecGymID0000918,train
MassSpecGymID0000919,train
MassSpecGymID0000920,ood
MassSpecGymID0000921,ood
MassSpecGymID0000922,ood
MassSpecGymID0000923,ood
MassSpecGymID0000924,ood
MassSpecGymID0000925,ood
MassSpecGymID0000926,ood
MassSpecGymID0000927,ood
MassSpecGymID0000928,ood
MassSpecGymID0000929,ood
MassSpecGymID0000930,train
MassSpecGymID0000932,train
MassSpecGymID0000933,train
MassSpecGymID0000936,train
MassSpecGymID0000937,train
MassSpecGymID0000938,train
MassSpecGymID0000940,train
MassSpecGymID0000941,train
MassSpecGymID0000942,train
MassSpecGymID0000943,train
MassSpecGymID0000944,train
MassSpecGymID0000945,train
MassSpecGymID0000946,train
MassSpecGymID0000947,train
MassSpecGymID0000948,train
MassSpecGymID0000949,train
MassSpecGymID0000950,train
MassSpecGymID0000951,train
MassSpecGymID0000952,train
MassSpecGymID0000953,train
MassSpecGymID0000954,train
MassSpecGymID0000955,train
MassSpecGymID0000956,train
MassSpecGymID0000957,train
MassSpecGymID0000958,train
MassSpecGymID0000959,train
MassSpecGymID0000960,train
MassSpecGymID0000961,train
MassSpecGymID0000962,train
MassSpecGymID0000963,train
MassSpecGymID0000964,train
MassSpecGymID0000965,train
MassSpecGymID0000966,train
MassSpecGymID0000967,train
MassSpecGymID0000968,train
MassSpecGymID0000969,train
MassSpecGymID0000970,ood
MassSpecGymID0000971,ood
MassSpecGymID0000972,ood
MassSpecGymID0000973,ood
MassSpecGymID0000974,ood
MassSpecGymID0000975,ood
MassSpecGymID0000976,ood
MassSpecGymID0000977,ood
MassSpecGymID0000978,ood
MassSpecGymID0000979,ood
MassSpecGymID0000981,id_val
MassSpecGymID0000982,id_val
MassSpecGymID0000983,id_val
MassSpecGymID0000984,id_val
MassSpecGymID0000985,id_val
MassSpecGymID0000986,id_val
MassSpecGymID0000987,id_val
MassSpecGymID0000988,id_val
MassSpecGymID0000989,id_val
MassSpecGymID0000990,id_val
MassSpecGymID0000991,train
MassSpecGymID0000992,train
MassSpecGymID0000993,train
MassSpecGymID0000994,train
MassSpecGymID0000996,ood
MassSpecGymID0000997,ood
MassSpecGymID0000998,ood
MassSpecGymID0000999,ood
MassSpecGymID0001000,ood
MassSpecGymID0001001,ood
MassSpecGymID0001002,ood
MassSpecGymID0001003,ood
MassSpecGymID0001004,ood
MassSpecGymID0001005,ood
MassSpecGymID0001006,ood
MassSpecGymID0001008,ood
MassSpecGymID0001009,ood
MassSpecGymID0001010,ood
MassSpecGymID0001011,ood
MassSpecGymID0001012,ood
MassSpecGymID0001013,id_val
MassSpecGymID0001014,id_val
MassSpecGymID0001015,id_val
MassSpecGymID0001016,id_val
MassSpecGymID0001017,id_val
MassSpecGymID0001018,id_val
MassSpecGymID0001019,id_val
MassSpecGymID0001020,id_val
MassSpecGymID0001021,id_val
MassSpecGymID0001022,id_val
MassSpecGymID0001023,ood
MassSpecGymID0001024,ood
MassSpecGymID0001025,ood
MassSpecGymID0001026,ood
MassSpecGymID0001027,ood
MassSpecGymID0001028,ood
MassSpecGymID0001029,ood
MassSpecGymID0001030,ood
MassSpecGymID0001031,ood
MassSpecGymID0001032,ood
MassSpecGymID0001033,ood
MassSpecGymID0001034,ood
MassSpecGymID0001035,ood
MassSpecGymID0001036,ood
MassSpecGymID0001037,ood
MassSpecGymID0001038,ood
MassSpecGymID0001039,ood
MassSpecGymID0001040,ood
MassSpecGymID0001041,ood
MassSpecGymID0001042,ood
MassSpecGymID0001043,ood
MassSpecGymID0001044,ood
MassSpecGymID0001045,ood
MassSpecGymID0001046,ood
MassSpecGymID0001047,train
MassSpecGymID0001048,train
MassSpecGymID0001049,train
MassSpecGymID0001050,train
MassSpecGymID0001051,train
MassSpecGymID0001052,train
MassSpecGymID0001053,train
MassSpecGymID0001054,train
MassSpecGymID0001055,train
MassSpecGymID0001056,train
MassSpecGymID0001058,train
MassSpecGymID0001059,train
MassSpecGymID0001060,train
MassSpecGymID0001061,train
MassSpecGymID0001063,ood
MassSpecGymID0001064,ood
MassSpecGymID0001065,ood
MassSpecGymID0001066,ood
MassSpecGymID0001067,ood
MassSpecGymID0001068,ood
MassSpecGymID0001069,ood
MassSpecGymID0001070,ood
MassSpecGymID0001071,ood
MassSpecGymID0001072,ood
MassSpecGymID0001073,train
MassSpecGymID0001074,train
MassSpecGymID0001075,train
MassSpecGymID0001076,train
MassSpecGymID0001077,train
MassSpecGymID0001078,train
MassSpecGymID0001080,id_val
MassSpecGymID0001081,id_val
MassSpecGymID0001082,id_val
MassSpecGymID0001083,id_val
MassSpecGymID0001084,id_val
MassSpecGymID0001085,id_val
MassSpecGymID0001086,id_val
MassSpecGymID0001087,id_val
MassSpecGymID0001088,id_val
MassSpecGymID0001089,id_val
MassSpecGymID0001090,ood
MassSpecGymID0001091,ood
MassSpecGymID0001092,ood
MassSpecGymID0001093,ood
MassSpecGymID0001094,ood
MassSpecGymID0001095,ood
MassSpecGymID0001096,ood
MassSpecGymID0001097,ood
MassSpecGymID0001098,ood
MassSpecGymID0001099,ood
MassSpecGymID0001100,ood
MassSpecGymID0001101,ood
MassSpecGymID0001102,ood
MassSpecGymID0001103,ood
MassSpecGymID0001104,ood
MassSpecGymID0001106,ood
MassSpecGymID0001107,ood
MassSpecGymID0001108,ood
MassSpecGymID0001109,ood
MassSpecGymID0001110,ood
MassSpecGymID0001111,ood
MassSpecGymID0001112,ood
MassSpecGymID0001113,id_val
MassSpecGymID0001114,id_val
MassSpecGymID0001116,id_val
MassSpecGymID0001117,id_val
MassSpecGymID0001118,id_val
MassSpecGymID0001119,id_val
MassSpecGymID0001120,id_val
MassSpecGymID0001121,id_val
MassSpecGymID0001123,ood
MassSpecGymID0001124,ood
